Lat,Long,wards
42.34806278,-71.07696731,3
42.34812169,-71.07670717,3
42.34808126,-71.07651297,3
42.3481811,-71.07641483,3
42.34807635,-71.07621195,3
42.34800088,-71.0761761,3
42.34792588,-71.07613903,3
42.34785296,-71.07610298,3
42.34770022,-71.07602481,3
42.34756629,-71.07595982,3
42.34778252,-71.0763236,3
42.3479383,-71.07641378,3
42.34837467,-71.07654076,3
42.34860948,-71.07677017,3
42.34845879,-71.07669645,3
42.34832526,-71.07676571,3
42.34825352,-71.07698331,3
42.34763864,-71.07625198,3
42.34750444,-71.07618699,3
42.34733761,-71.07610492,3
42.34726709,-71.07628696,3
42.34717167,-71.07640173,3
42.34716945,-71.07652716,3
42.34706799,-71.07657588,3
42.34894127,-71.07718206,3
42.34870763,-71.07746625,3
42.34841016,-71.07782423,3
42.34804064,-71.07787399,3
42.34773303,-71.07829035,3
42.34784525,-71.07815389,3
42.34767535,-71.07852853,3
42.34775297,-71.07797202,3
42.34790146,-71.07758336,3
42.3489455,-71.07795892,3
42.34881551,-71.07844564,3
42.34886762,-71.07824946,3
42.34887466,-71.07772467,3
42.34887466,-71.07772467,3
42.3503417,-71.0795496,4
42.35029628,-71.07972012,4
42.3503939,-71.07936052,4
42.35043841,-71.07919121,4
42.34833867,-71.07837553,3
42.34696322,-71.07670881,3
42.34817708,-71.07731166,3
42.34811114,-71.07759139,3
42.34903057,-71.07936049,3
42.34841579,-71.07888569,3
42.34876211,-71.07786821,3
42.34827187,-71.07881634,3
42.34933539,-71.07951106,3
42.34939887,-71.07960855,3
42.34864628,-71.07800686,3
42.34994432,-71.07954183,4
42.3527052,-71.07949253,4
42.35265077,-71.07969661,4
42.35275178,-71.07932713,4
42.35265207,-71.07926443,4
42.35260401,-71.07944569,4
42.35254898,-71.07965314,4
42.35233944,-71.07908741,4
42.35223884,-71.07944502,4
42.35216003,-71.07974714,4
42.3521357,-71.07854154,4
42.35204429,-71.07852557,4
42.35192015,-71.07833649,4
42.35199298,-71.07872605,4
42.35194496,-71.07890314,4
42.35188416,-71.07913055,4
42.3518284,-71.07933174,4
42.35178333,-71.07950237,4
42.35172156,-71.0797295,4
42.35189746,-71.07842421,4
42.35176344,-71.07835616,4
42.35178528,-71.07826874,4
42.35181463,-71.0780909,4
42.35187126,-71.07812022,4
42.35161875,-71.0786532,4
42.35135582,-71.07962518,4
42.35159905,-71.07830939,4
42.35155253,-71.07847495,4
42.35149593,-71.07868636,4
42.35144447,-71.07887928,4
42.35138338,-71.07910208,4
42.35133345,-71.07928751,4
42.35127144,-71.07951465,4
42.35121305,-71.0797292,4
42.35169696,-71.07794399,4
42.35156218,-71.07796931,4
42.35153323,-71.07824432,4
42.35136518,-71.07806421,4
42.35134061,-71.0778618,4
42.35120166,-71.07826038,4
42.35113517,-71.07850611,4
42.35111631,-71.07809837,4
42.35099437,-71.07803976,4
42.35087136,-71.07801551,4
42.35099222,-71.07788091,4
42.35096678,-71.07796697,4
42.35114026,-71.07805239,4
42.35116339,-71.07796527,4
42.35101615,-71.07769936,4
42.35098339,-71.07759496,4
42.35088262,-71.07754866,4
42.350744,-71.07756712,4
42.35080447,-71.07826256,4
42.35070272,-71.07821337,4
42.35075292,-71.07802928,4
42.35075091,-71.07845518,4
42.35064912,-71.0784112,4
42.35059629,-71.07860905,4
42.35069745,-71.07865849,4
42.35064784,-71.07884076,4
42.35054608,-71.07879313,4
42.35059029,-71.07904895,4
42.35049406,-71.07898682,4
42.35054122,-71.07923566,4
42.35107779,-71.07724586,4
42.351022,-71.07745121,4
42.35112673,-71.07707321,4
42.35102323,-71.07702633,4
42.35097622,-71.07719849,4
42.35092399,-71.07739401,4
42.35042039,-71.07778583,4
42.35032041,-71.07814932,4
42.35025337,-71.07840657,4
42.3505944,-71.07713781,4
42.35104635,-71.07559445,4
42.3505421,-71.0777596,4
42.35056388,-71.07767324,4
42.3507437,-71.07776026,4
42.35072037,-71.07784558,4
42.35036047,-71.07756875,4
42.35025811,-71.07736327,4
42.35022156,-71.07749957,4
42.34994086,-71.07715815,3
42.3501087,-71.0775641,4
42.35022204,-71.07714539,4
42.35012186,-71.07690373,3
42.34991546,-71.07733513,3
42.34996889,-71.07750041,3
42.35002967,-71.07785721,4
42.34994626,-71.0781696,4
42.34987833,-71.07783016,3
42.34980523,-71.07809806,3
42.34995428,-71.07690074,3
42.34999879,-71.07674182,3
42.35007844,-71.07669054,3
42.3499594,-71.07663313,3
42.35000295,-71.07647187,3
42.34994608,-71.07630871,3
42.35004949,-71.07593053,3
42.35025667,-71.07640084,3
42.35018551,-71.07666823,3
42.35012222,-71.0765303,3
42.35016403,-71.07637034,3
42.35024509,-71.07607096,3
42.35028883,-71.07591099,3
42.35039897,-71.07587282,3
42.35054326,-71.0759592,4
